Designator,Mid X,Mid Y,Rotation,Layer
BT1,141.0,-55.0,180.0,bottom
C1,131.5,-130.0,270.0,top
C2,134.3625,-131.0,180.0,top
C3,110.4,-93.0,90.0,top
C4,119.9,-93.0,90.0,top
C5,129.4,-93.0,90.0,top
C6,109.5,-103.9,180.0,top
C7,119.1375,-104.0,180.0,top
C8,128.6,-104.0,180.0,top
D1,112.85,-98.75,0.0,top
D2,122.35,-98.75,0.0,top
D3,131.85,-98.75,0.0,top
D4,112.8,-107.6,0.0,top
D5,122.4,-107.6,0.0,top
D6,131.9,-107.6,0.0,top
J1,123.0,-132.58,0.0,top
J2,110.5,-122.475,180.0,top
R1,126.5,-127.0,0.0,top
R2,126.5,-125.5,0.0,top
R3,134.5,-123.3,180.0,top
R4,134.5,-125.0,180.0,top
R5,129.5,-130.0,270.0,top
U1,119.85,-64.2,90.0,top
U2,134.5,-128.0,180.0,top
